ticker,date,analysis_date,model,market_premium,risk_free_rate,beta,alpha,r_squared,expected_return_capm,market_beta,smb_beta,hml_beta,ff_alpha,ff_r_squared,expected_return_ff,smb_premium,hml_premium,sharpe_ratio
AAPL,2025-03-14,2025-03-14 21:59:24,fama_french,0.11764179884946373,0.024669657624011514,1.1734296396845205,0.13683102597456923,0.6247480082464569,0.16271403125977657,1.0777612477800087,-0.13632937828416963,-0.6007823130612445,0.0819291578700097,0.7185123531856523,0.20412298157736947,-0.05481777160322243,-0.0752190574359959,0.867358047222601
ABNB,2025-03-14,2025-03-14 21:59:24,fama_french,0.101824941907154,0.029629420407851954,1.5780735699444446,-0.09359687776257358,0.27959944699088224,0.19031666999266014,1.0344070464825117,1.02649979227408,-0.9273997924328619,-0.01950443360978657,0.3581184597744642,0.14844556491378677,-0.05481777160322243,-0.0752190574359959,0.13692865701037668
ADBE,2025-03-14,2025-03-14 21:59:24,fama_french,0.11764179884946373,0.024669657624011514,1.2577885429020959,-0.03866312466473824,0.476603504822359,0.17263816438325996,1.0796256277401155,-0.010428061327008971,-0.9561825767955878,-0.11299149855118522,0.6067824087451288,0.22417355380271445,-0.05481777160322243,-0.0752190574359959,0.2810474701287985
ADI,2025-03-14,2025-03-14 21:59:24,fama_french,0.11764179884946373,0.024669657624011514,1.2681952612804728,0.021361834809617758,0.5836199292690724,0.173862429453412,1.1646635738289923,0.3687761485935098,-0.3052191259879795,0.021148307059952097,0.6049333559394006,0.16442558378563865,-0.05481777160322243,-0.0752190574359959,0.48129299083639143
ADP,2025-03-14,2025-03-14 21:59:24,fama_french,0.11764179884946373,0.024669657624011514,0.9796645053654365,0.02868942160077288,0.5715175433790811,0.13991915230417157,1.0615875503645804,-0.10945057220056134,0.36334616358793004,0.04976761043272983,0.6026692540502419,0.12822600720575952,-0.05481777160322243,-0.0752190574359959,0.5203347018284539
ADSK,2025-03-14,2025-03-14 21:59:24,fama_french,0.11764179884946373,0.024669657624011514,1.3366077877937683,-0.012257228356086974,0.528604257872078,0.18191060213627272,1.1528123054323023,0.45023402211094604,-0.6784268560417706,-0.036077533206669184,0.5842246253521474,0.18663837382951498,-0.05481777160322243,-0.0752190574359959,0.36944323687569974
AEP,2025-03-14,2025-03-14 21:59:24,fama_french,0.11764179884946373,0.024669657624011514,0.5766778467218276,-0.02840153789431128,0.24600210432893155,0.09251107686900265,0.7553935612862893,-0.404753263402226,0.681748243939504,-0.0014515013022919714,0.38271181716422764,0.08444272664410048,-0.05481777160322243,-0.0752190574359959,0.1589054874396763
ALGN,2025-03-14,2025-03-14 21:59:24,fama_french,0.11764179884946373,0.024669657624011514,1.5329812292812361,-0.12348597826704208,0.3639454612918377,0.20501232703911831,1.3463465540986919,0.9175925813670329,-0.3813147410738583,-0.09488375708313189,0.4085415970040883,0.1614380429827956,-0.05481777160322243,-0.0752190574359959,0.10481659578339801
AMAT,2025-03-14,2025-03-14 21:59:24,fama_french,0.11764179884946373,0.024669657624011514,1.6347956036041515,0.09654494877714848,0.5573532567151869,0.21698995318319875,1.4395655089270751,0.469132779844331,-0.7267220192405526,0.07019789793593524,0.6019858656803876,0.22296926538400302,-0.05481777160322243,-0.0752190574359959,0.6179655347205382
AMD,2025-03-14,2025-03-14 21:59:24,fama_french,0.11764179884946373,0.024669657624011514,1.5596656851146669,0.11250851884842855,0.4025210737722843,0.20815153442468218,1.251904649393371,0.41041175494838644,-1.365494994211234,0.033236504831293597,0.5248015509882349,0.25215936111875625,-0.05481777160322243,-0.0752190574359959,0.5640369630122888
AMGN,2025-03-14,2025-03-14 21:59:24,fama_french,0.11764179884946373,0.024669657624011514,0.6360963899517587,-0.019326520943852663,0.26844686784839966,0.09950118117958634,0.7305098824302516,-0.26727243185786353,0.324453116633881,-0.01121729526664449,0.2997578483753135,0.100854375780467,-0.05481777160322243,-0.0752190574359959,0.2117900336416279
AMZN,2025-03-14,2025-03-14 21:59:24,fama_french,0.11764179884946373,0.024669657624011514,1.0808961725228943,0.08274703655062697,0.4113984696552666,0.1518282277291051,0.8526598908619908,0.09767626134256893,-1.1507395698440663,0.00025983230072693184,0.616859777290087,0.20618125180444397,-0.05481777160322243,-0.0752190574359959,0.583496893197707
ANSS,2025-03-14,2025-03-14 21:59:24,fama_french,0.11764179884946373,0.024669657624011514,1.2685930777596535,-0.05678443725311877,0.5661663537821977,0.17390922929963476,1.1119273267688439,0.15685492863790723,-0.7298895580377968,-0.10310771756757399,0.6428824067283109,0.20178195547003994,-0.05481777160322243,-0.0752190574359959,0.2568904014928737
ASML,2025-03-14,2025-03-14 21:59:24,fama_french,0.11764179884946373,0.024669657624011514,1.431833089947504,0.07799331578813257,0.4944538908186761,0.1931130779776219,1.2087474841628012,0.4237771774727494,-0.9054322383945701,0.03501154306520923,0.5712464321669541,0.2117441250345312,-0.05481777160322243,-0.0752190574359959,0.5669478399129143
AVGO,2025-03-14,2025-03-14 21:59:24,fama_french,0.11764179884946373,0.024669657624011514,1.3861680713278717,0.32719425066571967,0.4988140494616702,0.1877409630427141,1.2187893232932876,0.25875805333611057,-0.718885506018286,0.2881578273147719,0.55125256870355,0.20793957633357554,-0.05481777160322243,-0.0752190574359959,1.1701781438930785
BIIB,2025-03-14,2025-03-14 21:59:24,fama_french,0.11764179884946373,0.024669657624011514,0.8161682325573728,-0.1555424771877046,0.13923144706213852,0.1206851566658483,0.7642273516739462,0.11975101298446322,-0.19672566209902329,-0.1631324634360912,0.1424639023844566,0.1228077732024202,-0.05481777160322243,-0.0752190574359959,-0.1274881943524359
